name,born,type,roles,title,released,tagline
Emil Eifrem,1978,ACTED_IN,Emil;,The Matrix,1999,Welcome to the Real World
Joel Silver,1952,PRODUCED,,The Matrix,1999,Welcome to the Real World
Lana Wachowski,1965,DIRECTED,,The Matrix,1999,Welcome to the Real World
Andy Wachowski,1967,DIRECTED,,The Matrix,1999,Welcome to the Real World
Hugo Weaving,1960,ACTED_IN,Agent Smith;,The Matrix,1999,Welcome to the Real World
Laurence Fishburne,1961,ACTED_IN,Morpheus;,The Matrix,1999,Welcome to the Real World
Carrie-Anne Moss,1967,ACTED_IN,Trinity;,The Matrix,1999,Welcome to the Real World
Keanu Reeves,1964,ACTED_IN,Neo;,The Matrix,1999,Welcome to the Real World
Joel Silver,1952,PRODUCED,,The Matrix Reloaded,2003,Free your mind
Lana Wachowski,1965,DIRECTED,,The Matrix Reloaded,2003,Free your mind
Andy Wachowski,1967,DIRECTED,,The Matrix Reloaded,2003,Free your mind
Hugo Weaving,1960,ACTED_IN,Agent Smith;,The Matrix Reloaded,2003,Free your mind
Laurence Fishburne,1961,ACTED_IN,Morpheus;,The Matrix Reloaded,2003,Free your mind
Carrie-Anne Moss,1967,ACTED_IN,Trinity;,The Matrix Reloaded,2003,Free your mind
Keanu Reeves,1964,ACTED_IN,Neo;,The Matrix Reloaded,2003,Free your mind
Lana Wachowski,1965,DIRECTED,,The Matrix Revolutions,2003,Everything that has a beginning has an end
Joel Silver,1952,PRODUCED,,The Matrix Revolutions,2003,Everything that has a beginning has an end
Hugo Weaving,1960,ACTED_IN,Agent Smith;,The Matrix Revolutions,2003,Everything that has a beginning has an end
Andy Wachowski,1967,DIRECTED,,The Matrix Revolutions,2003,Everything that has a beginning has an end
Carrie-Anne Moss,1967,ACTED_IN,Trinity;,The Matrix Revolutions,2003,Everything that has a beginning has an end
Laurence Fishburne,1961,ACTED_IN,Morpheus;,The Matrix Revolutions,2003,Everything that has a beginning has an end
Keanu Reeves,1964,ACTED_IN,Neo;,The Matrix Revolutions,2003,Everything that has a beginning has an end
Al Pacino,1940,ACTED_IN,John Milton;,The Devil's Advocate,1997,Evil has its winning ways
Taylor Hackford,1944,DIRECTED,,The Devil's Advocate,1997,Evil has its winning ways
Keanu Reeves,1964,ACTED_IN,Kevin Lomax;,The Devil's Advocate,1997,Evil has its winning ways
Charlize Theron,1975,ACTED_IN,Mary Ann Lomax;,The Devil's Advocate,1997,Evil has its winning ways
Aaron Sorkin,1961,ACTED_IN,Man in Bar;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Christopher Guest,1948,ACTED_IN,Dr. Stone;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Aaron Sorkin,1961,WROTE,,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Rob Reiner,1947,DIRECTED,,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Kevin Pollak,1957,ACTED_IN,Lt. Sam Weinberg;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Cuba Gooding Jr.,1968,ACTED_IN,Cpl. Carl Hammaker;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
James Marshall,1967,ACTED_IN,Pfc. Louden Downey;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
J.T. Walsh,1943,ACTED_IN,Lt. Col. Matthew Andrew Markinson;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Kiefer Sutherland,1966,ACTED_IN,Lt. Jonathan Kendrick;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Noah Wyle,1971,ACTED_IN,Cpl. Jeffrey Barnes;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Demi Moore,1962,ACTED_IN,Lt. Cdr. JoAnne Galloway;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Kevin Bacon,1958,ACTED_IN,Capt. Jack Ross;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Tom Cruise,1962,ACTED_IN,Lt. Daniel Kaffee;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Jack Nicholson,1937,ACTED_IN,Col. Nathan R. Jessup;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Meg Ryan,1961,ACTED_IN,Carole;,Top Gun,1986,"I feel the need, the need for speed."
Tom Skerritt,1933,ACTED_IN,Viper;,Top Gun,1986,"I feel the need, the need for speed."
Jim Cash,1941,WROTE,,Top Gun,1986,"I feel the need, the need for speed."
Tony Scott,1944,DIRECTED,,Top Gun,1986,"I feel the need, the need for speed."
Kelly McGillis,1957,ACTED_IN,Charlie;,Top Gun,1986,"I feel the need, the need for speed."
Tom Cruise,1962,ACTED_IN,Maverick;,Top Gun,1986,"I feel the need, the need for speed."
Anthony Edwards,1962,ACTED_IN,Goose;,Top Gun,1986,"I feel the need, the need for speed."
Val Kilmer,1959,ACTED_IN,Iceman;,Top Gun,1986,"I feel the need, the need for speed."
Jonathan Lipnicki,1996,ACTED_IN,Ray Boyd;,Jerry Maguire,2000,The rest of his life begins now.
Cameron Crowe,1957,DIRECTED,,Jerry Maguire,2000,The rest of his life begins now.
Cameron Crowe,1957,PRODUCED,,Jerry Maguire,2000,The rest of his life begins now.
Cameron Crowe,1957,WROTE,,Jerry Maguire,2000,The rest of his life begins now.
Jerry O'Connell,1974,ACTED_IN,Frank Cushman;,Jerry Maguire,2000,The rest of his life begins now.
Jay Mohr,1970,ACTED_IN,Bob Sugar;,Jerry Maguire,2000,The rest of his life begins now.
Bonnie Hunt,1961,ACTED_IN,Laurel Boyd;,Jerry Maguire,2000,The rest of his life begins now.
Regina King,1971,ACTED_IN,Marcee Tidwell;,Jerry Maguire,2000,The rest of his life begins now.
Tom Cruise,1962,ACTED_IN,Jerry Maguire;,Jerry Maguire,2000,The rest of his life begins now.
Cuba Gooding Jr.,1968,ACTED_IN,Rod Tidwell;,Jerry Maguire,2000,The rest of his life begins now.
Renee Zellweger,1969,ACTED_IN,Dorothy Boyd;,Jerry Maguire,2000,The rest of his life begins now.
Kelly Preston,1962,ACTED_IN,Avery Bishop;,Jerry Maguire,2000,The rest of his life begins now.
Rob Reiner,1947,DIRECTED,,Stand By Me,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
Marshall Bell,1942,ACTED_IN,Mr. Lachance;,Stand By Me,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
Kiefer Sutherland,1966,ACTED_IN,Ace Merrill;,Stand By Me,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
John Cusack,1966,ACTED_IN,Denny Lachance;,Stand By Me,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
Wil Wheaton,1972,ACTED_IN,Gordie Lachance;,Stand By Me,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
River Phoenix,1970,ACTED_IN,Chris Chambers;,Stand By Me,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
Jerry O'Connell,1974,ACTED_IN,Vern Tessio;,Stand By Me,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
Corey Feldman,1971,ACTED_IN,Teddy Duchamp;,Stand By Me,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
James L. Brooks,1940,DIRECTED,,As Good as It Gets,1997,A comedy from the heart that goes for the throat.
Cuba Gooding Jr.,1968,ACTED_IN,Frank Sachs;,As Good as It Gets,1997,A comedy from the heart that goes for the throat.
Greg Kinnear,1963,ACTED_IN,Simon Bishop;,As Good as It Gets,1997,A comedy from the heart that goes for the throat.
Helen Hunt,1963,ACTED_IN,Carol Connelly;,As Good as It Gets,1997,A comedy from the heart that goes for the throat.
Jack Nicholson,1937,ACTED_IN,Melvin Udall;,As Good as It Gets,1997,A comedy from the heart that goes for the throat.
Annabella Sciorra,1960,ACTED_IN,Annie Collins-Nielsen;,What Dreams May Come,1998,After life there is more. The end is just the beginning.
Cuba Gooding Jr.,1968,ACTED_IN,Albert Lewis;,What Dreams May Come,1998,After life there is more. The end is just the beginning.
Robin Williams,1951,ACTED_IN,Chris Nielsen;,What Dreams May Come,1998,After life there is more. The end is just the beginning.
Vincent Ward,1956,DIRECTED,,What Dreams May Come,1998,After life there is more. The end is just the beginning.
Werner Herzog,1942,ACTED_IN,The Face;,What Dreams May Come,1998,After life there is more. The end is just the beginning.
Max von Sydow,1929,ACTED_IN,The Tracker;,What Dreams May Come,1998,After life there is more. The end is just the beginning.
James Cromwell,1940,ACTED_IN,Judge Fielding;,Snow Falling on Cedars,1999,First loves last. Forever.
Scott Hicks,1953,DIRECTED,,Snow Falling on Cedars,1999,First loves last. Forever.
Rick Yune,1971,ACTED_IN,Kazuo Miyamoto;,Snow Falling on Cedars,1999,First loves last. Forever.
Max von Sydow,1929,ACTED_IN,Nels Gudmundsson;,Snow Falling on Cedars,1999,First loves last. Forever.
Ethan Hawke,1970,ACTED_IN,Ishmael Chambers;,Snow Falling on Cedars,1999,First loves last. Forever.
Nora Ephron,1941,DIRECTED,,You've Got Mail,1998,At odds in life... in love on-line.
Dave Chappelle,1973,ACTED_IN,Kevin Jackson;,You've Got Mail,1998,At odds in life... in love on-line.
Steve Zahn,1967,ACTED_IN,George Pappas;,You've Got Mail,1998,At odds in life... in love on-line.
Greg Kinnear,1963,ACTED_IN,Frank Navasky;,You've Got Mail,1998,At odds in life... in love on-line.
Parker Posey,1968,ACTED_IN,Patricia Eden;,You've Got Mail,1998,At odds in life... in love on-line.
Tom Hanks,1956,ACTED_IN,Joe Fox;,You've Got Mail,1998,At odds in life... in love on-line.
Meg Ryan,1961,ACTED_IN,Kathleen Kelly;,You've Got Mail,1998,At odds in life... in love on-line.
Nora Ephron,1941,DIRECTED,,Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Rosie O'Donnell,1962,ACTED_IN,Becky;,Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Tom Hanks,1956,ACTED_IN,Sam Baldwin;,Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Bill Pullman,1953,ACTED_IN,Walter;,Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Victor Garber,1949,ACTED_IN,Greg;,Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Meg Ryan,1961,ACTED_IN,Annie Reed;,Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Rita Wilson,1956,ACTED_IN,Suzy;,Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Meg Ryan,1961,ACTED_IN,DeDe;Angelica Graynamore;Patricia Graynamore;,Joe Versus the Volcano,1990,"A story of love, lava and burning desire."
Tom Hanks,1956,ACTED_IN,Joe Banks;,Joe Versus the Volcano,1990,"A story of love, lava and burning desire."
John Patrick Stanley,1950,DIRECTED,,Joe Versus the Volcano,1990,"A story of love, lava and burning desire."
Nathan Lane,1956,ACTED_IN,Baw;,Joe Versus the Volcano,1990,"A story of love, lava and burning desire."
Bruno Kirby,1949,ACTED_IN,Jess;,When Harry Met Sally,1998,At odds in life... in love on-line.
Carrie Fisher,1956,ACTED_IN,Marie;,When Harry Met Sally,1998,At odds in life... in love on-line.
Rob Reiner,1947,PRODUCED,,When Harry Met Sally,1998,At odds in life... in love on-line.
Rob Reiner,1947,DIRECTED,,When Harry Met Sally,1998,At odds in life... in love on-line.
Nora Ephron,1941,WROTE,,When Harry Met Sally,1998,At odds in life... in love on-line.
Nora Ephron,1941,PRODUCED,,When Harry Met Sally,1998,At odds in life... in love on-line.
Meg Ryan,1961,ACTED_IN,Sally Albright;,When Harry Met Sally,1998,At odds in life... in love on-line.
Billy Crystal,1948,ACTED_IN,Harry Burns;,When Harry Met Sally,1998,At odds in life... in love on-line.
Charlize Theron,1975,ACTED_IN,Tina;,That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do
Tom Hanks,1956,DIRECTED,,That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do
Liv Tyler,1977,ACTED_IN,Faye Dolan;,That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do
Tom Hanks,1956,ACTED_IN,Mr. White;,That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do
Jessica Thompson,,REVIEWED,,The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
Angela Scope,,REVIEWED,,The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
James Thompson,,REVIEWED,,The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
Keanu Reeves,1964,ACTED_IN,Shane Falco;,The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
Brooke Langton,1970,ACTED_IN,Annabelle Farrell;,The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
Gene Hackman,1930,ACTED_IN,Jimmy McGinty;,The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
Orlando Jones,1968,ACTED_IN,Clifford Franklin;,The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
Howard Deutch,1950,DIRECTED,,The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
Christian Bale,1974,ACTED_IN,Dieter Dengler;,RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom
Zach Grenier,1954,ACTED_IN,Squad Leader;,RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom
Steve Zahn,1967,ACTED_IN,Duane;,RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom
Werner Herzog,1942,DIRECTED,,RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom
Marshall Bell,1942,ACTED_IN,Admiral;,RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom
Jessica Thompson,,REVIEWED,,The Birdcage,1996,Come as you are
Robin Williams,1951,ACTED_IN,Armand Goldman;,The Birdcage,1996,Come as you are
Nathan Lane,1956,ACTED_IN,Albert Goldman;,The Birdcage,1996,Come as you are
Gene Hackman,1930,ACTED_IN,Sen. Kevin Keeley;,The Birdcage,1996,Come as you are
Mike Nichols,1931,DIRECTED,,The Birdcage,1996,Come as you are
Jessica Thompson,,REVIEWED,,Unforgiven,1992,"It's a hell of a thing, killing a man"
Gene Hackman,1930,ACTED_IN,Little Bill Daggett;,Unforgiven,1992,"It's a hell of a thing, killing a man"
Clint Eastwood,1930,DIRECTED,,Unforgiven,1992,"It's a hell of a thing, killing a man"
Richard Harris,1930,ACTED_IN,English Bob;,Unforgiven,1992,"It's a hell of a thing, killing a man"
Clint Eastwood,1930,ACTED_IN,Bill Munny;,Unforgiven,1992,"It's a hell of a thing, killing a man"
Dina Meyer,1968,ACTED_IN,Jane;,Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town
Ice-T,1958,ACTED_IN,J-Bone;,Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town
Keanu Reeves,1964,ACTED_IN,Johnny Mnemonic;,Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town
Takeshi Kitano,1947,ACTED_IN,Takahashi;,Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town
Robert Longo,1953,DIRECTED,,Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town
Jessica Thompson,,REVIEWED,,Cloud Atlas,2012,Everything is connected
Andy Wachowski,1967,DIRECTED,,Cloud Atlas,2012,Everything is connected
Lana Wachowski,1965,DIRECTED,,Cloud Atlas,2012,Everything is connected
Jim Broadbent,1949,ACTED_IN,Vyvyan Ayrs;Captain Molyneux;Timothy Cavendish;,Cloud Atlas,2012,Everything is connected
Tom Tykwer,1965,DIRECTED,,Cloud Atlas,2012,Everything is connected
Hugo Weaving,1960,ACTED_IN,Bill Smoke;Haskell Moore;Tadeusz Kesselring;Nurse Noakes;Boardman Mephi;Old Georgie;,Cloud Atlas,2012,Everything is connected
Halle Berry,1966,ACTED_IN,Luisa Rey;Jocasta Ayrs;Ovid;Meronym;,Cloud Atlas,2012,Everything is connected
Tom Hanks,1956,ACTED_IN,Zachry;Dr. Henry Goose;Isaac Sachs;Dermot Hoggins;,Cloud Atlas,2012,Everything is connected
James Thompson,,REVIEWED,,The Da Vinci Code,2006,Break The Codes
Jessica Thompson,,REVIEWED,,The Da Vinci Code,2006,Break The Codes
Ron Howard,1954,DIRECTED,,The Da Vinci Code,2006,Break The Codes
Paul Bettany,1971,ACTED_IN,Silas;,The Da Vinci Code,2006,Break The Codes
Audrey Tautou,1976,ACTED_IN,Sophie Neveu;,The Da Vinci Code,2006,Break The Codes
Ian McKellen,1939,ACTED_IN,Sir Leight Teabing;,The Da Vinci Code,2006,Break The Codes
Tom Hanks,1956,ACTED_IN,Dr. Robert Langdon;,The Da Vinci Code,2006,Break The Codes
Stephen Rea,1946,ACTED_IN,Eric Finch;,V for Vendetta,2006,Freedom! Forever!
Natalie Portman,1981,ACTED_IN,Evey Hammond;,V for Vendetta,2006,Freedom! Forever!
Hugo Weaving,1960,ACTED_IN,V;,V for Vendetta,2006,Freedom! Forever!
Lana Wachowski,1965,WROTE,,V for Vendetta,2006,Freedom! Forever!
Andy Wachowski,1967,WROTE,,V for Vendetta,2006,Freedom! Forever!
Joel Silver,1952,PRODUCED,,V for Vendetta,2006,Freedom! Forever!
Lana Wachowski,1965,PRODUCED,,V for Vendetta,2006,Freedom! Forever!
Andy Wachowski,1967,PRODUCED,,V for Vendetta,2006,Freedom! Forever!
James Marshall,1967,DIRECTED,,V for Vendetta,2006,Freedom! Forever!
Ben Miles,1967,ACTED_IN,Dascomb;,V for Vendetta,2006,Freedom! Forever!
John Hurt,1940,ACTED_IN,High Chancellor Adam Sutler;,V for Vendetta,2006,Freedom! Forever!
Christina Ricci,1980,ACTED_IN,Trixie;,Speed Racer,2008,Speed has no limits
Rain,1982,ACTED_IN,Taejo Togokahn;,Speed Racer,2008,Speed has no limits
Ben Miles,1967,ACTED_IN,Cass Jones;,Speed Racer,2008,Speed has no limits
Andy Wachowski,1967,DIRECTED,,Speed Racer,2008,Speed has no limits
Emile Hirsch,1985,ACTED_IN,Speed Racer;,Speed Racer,2008,Speed has no limits
John Goodman,1960,ACTED_IN,Pops;,Speed Racer,2008,Speed has no limits
Susan Sarandon,1946,ACTED_IN,Mom;,Speed Racer,2008,Speed has no limits
Matthew Fox,1966,ACTED_IN,Racer X;,Speed Racer,2008,Speed has no limits
Lana Wachowski,1965,DIRECTED,,Speed Racer,2008,Speed has no limits
Andy Wachowski,1967,WROTE,,Speed Racer,2008,Speed has no limits
Lana Wachowski,1965,WROTE,,Speed Racer,2008,Speed has no limits
Joel Silver,1952,PRODUCED,,Speed Racer,2008,Speed has no limits
Andy Wachowski,1967,PRODUCED,,Ninja Assassin,2009,Prepare to enter a secret world of assassins
James Marshall,1967,DIRECTED,,Ninja Assassin,2009,Prepare to enter a secret world of assassins
Joel Silver,1952,PRODUCED,,Ninja Assassin,2009,Prepare to enter a secret world of assassins
Lana Wachowski,1965,PRODUCED,,Ninja Assassin,2009,Prepare to enter a secret world of assassins
Rain,1982,ACTED_IN,Raizo;,Ninja Assassin,2009,Prepare to enter a secret world of assassins
Naomie Harris,,ACTED_IN,Mika Coretti;,Ninja Assassin,2009,Prepare to enter a secret world of assassins
Rick Yune,1971,ACTED_IN,Takeshi;,Ninja Assassin,2009,Prepare to enter a secret world of assassins
Ben Miles,1967,ACTED_IN,Ryan Maslow;,Ninja Assassin,2009,Prepare to enter a secret world of assassins
Michael Clarke Duncan,1957,ACTED_IN,John Coffey;,The Green Mile,1999,Walk a mile you'll never forget.
Tom Hanks,1956,ACTED_IN,Paul Edgecomb;,The Green Mile,1999,Walk a mile you'll never forget.
Bonnie Hunt,1961,ACTED_IN,Jan Edgecomb;,The Green Mile,1999,Walk a mile you'll never forget.
David Morse,1953,ACTED_IN,"Brutus ""Brutal"" Howell;",The Green Mile,1999,Walk a mile you'll never forget.
Frank Darabont,1959,DIRECTED,,The Green Mile,1999,Walk a mile you'll never forget.
Sam Rockwell,1968,ACTED_IN,"""Wild Bill"" Wharton;",The Green Mile,1999,Walk a mile you'll never forget.
James Cromwell,1940,ACTED_IN,Warden Hal Moores;,The Green Mile,1999,Walk a mile you'll never forget.
Patricia Clarkson,1959,ACTED_IN,Melinda Moores;,The Green Mile,1999,Walk a mile you'll never forget.
Gary Sinise,1955,ACTED_IN,Burt Hammersmith;,The Green Mile,1999,Walk a mile you'll never forget.
Ron Howard,1954,DIRECTED,,Frost/Nixon,2008,400 million people were waiting for the truth.
Oliver Platt,1960,ACTED_IN,Bob Zelnick;,Frost/Nixon,2008,400 million people were waiting for the truth.
Sam Rockwell,1968,ACTED_IN,"James Reston, Jr.;",Frost/Nixon,2008,400 million people were waiting for the truth.
Frank Langella,1938,ACTED_IN,Richard Nixon;,Frost/Nixon,2008,400 million people were waiting for the truth.
Kevin Bacon,1958,ACTED_IN,Jack Brennan;,Frost/Nixon,2008,400 million people were waiting for the truth.
Michael Sheen,1969,ACTED_IN,David Frost;,Frost/Nixon,2008,400 million people were waiting for the truth.
Jack Nicholson,1937,ACTED_IN,Hoffa;,Hoffa,1992,He didn't want law. He wanted justice.
John C. Reilly,1965,ACTED_IN,"Peter ""Pete"" Connelly;",Hoffa,1992,He didn't want law. He wanted justice.
Danny DeVito,1944,DIRECTED,,Hoffa,1992,He didn't want law. He wanted justice.
Danny DeVito,1944,ACTED_IN,"Robert ""Bobby"" Ciaro;",Hoffa,1992,He didn't want law. He wanted justice.
J.T. Walsh,1943,ACTED_IN,Frank Fitzsimmons;,Hoffa,1992,He didn't want law. He wanted justice.
Ed Harris,1950,ACTED_IN,Gene Kranz;,Apollo 13,1995,"Houston, we have a problem."
Bill Paxton,1955,ACTED_IN,Fred Haise;,Apollo 13,1995,"Houston, we have a problem."
Tom Hanks,1956,ACTED_IN,Jim Lovell;,Apollo 13,1995,"Houston, we have a problem."
Kevin Bacon,1958,ACTED_IN,Jack Swigert;,Apollo 13,1995,"Houston, we have a problem."
Gary Sinise,1955,ACTED_IN,Ken Mattingly;,Apollo 13,1995,"Houston, we have a problem."
Ron Howard,1954,DIRECTED,,Apollo 13,1995,"Houston, we have a problem."
Jan de Bont,1943,DIRECTED,,Twister,1996,Don't Breathe. Don't Look Back.
Philip Seymour Hoffman,1967,ACTED_IN,"Dustin ""Dusty"" Davis;",Twister,1996,Don't Breathe. Don't Look Back.
Zach Grenier,1954,ACTED_IN,Eddie;,Twister,1996,Don't Breathe. Don't Look Back.
Bill Paxton,1955,ACTED_IN,Bill Harding;,Twister,1996,Don't Breathe. Don't Look Back.
Helen Hunt,1963,ACTED_IN,Dr. Jo Harding;,Twister,1996,Don't Breathe. Don't Look Back.
Tom Hanks,1956,ACTED_IN,Chuck Noland;,Cast Away,2000,"At the edge of the world, his journey begins."
Robert Zemeckis,1951,DIRECTED,,Cast Away,2000,"At the edge of the world, his journey begins."
Helen Hunt,1963,ACTED_IN,Kelly Frears;,Cast Away,2000,"At the edge of the world, his journey begins."
Danny DeVito,1944,ACTED_IN,Martini;,One Flew Over the Cuckoo's Nest,1975,"If he's crazy, what does that make you?"
Jack Nicholson,1937,ACTED_IN,Randle McMurphy;,One Flew Over the Cuckoo's Nest,1975,"If he's crazy, what does that make you?"
Milos Forman,1932,DIRECTED,,One Flew Over the Cuckoo's Nest,1975,"If he's crazy, what does that make you?"
Keanu Reeves,1964,ACTED_IN,Julian Mercer;,Something's Gotta Give,2003,
Diane Keaton,1946,ACTED_IN,Erica Barry;,Something's Gotta Give,2003,
Jack Nicholson,1937,ACTED_IN,Harry Sanborn;,Something's Gotta Give,2003,
Nancy Meyers,1949,WROTE,,Something's Gotta Give,2003,
Nancy Meyers,1949,PRODUCED,,Something's Gotta Give,2003,
Nancy Meyers,1949,DIRECTED,,Something's Gotta Give,2003,
Oliver Platt,1960,ACTED_IN,Rupert Burns;,Bicentennial Man,1999,One robot's 200 year journey to become an ordinary man.
Chris Columbus,1958,DIRECTED,,Bicentennial Man,1999,One robot's 200 year journey to become an ordinary man.
Robin Williams,1951,ACTED_IN,Andrew Marin;,Bicentennial Man,1999,One robot's 200 year journey to become an ordinary man.
Tom Hanks,1956,ACTED_IN,Rep. Charlie Wilson;,Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.
Julia Roberts,1967,ACTED_IN,Joanne Herring;,Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.
Philip Seymour Hoffman,1967,ACTED_IN,Gust Avrakotos;,Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.
Mike Nichols,1931,DIRECTED,,Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.
Tom Hanks,1956,ACTED_IN,Hero Boy;Father;Conductor;Hobo;Scrooge;Santa Claus;,The Polar Express,2004,This Holiday Season… Believe
Robert Zemeckis,1951,DIRECTED,,The Polar Express,2004,This Holiday Season… Believe
Tom Hanks,1956,ACTED_IN,Jimmy Dugan;,A League of Their Own,1992,Once in a lifetime you get a chance to do something different.
Geena Davis,1956,ACTED_IN,Dottie Hinson;,A League of Their Own,1992,Once in a lifetime you get a chance to do something different.
Lori Petty,1963,ACTED_IN,Kit Keller;,A League of Their Own,1992,Once in a lifetime you get a chance to do something different.
Rosie O'Donnell,1962,ACTED_IN,Doris Murphy;,A League of Their Own,1992,Once in a lifetime you get a chance to do something different.
Madonna,1954,ACTED_IN,"""All the Way"" Mae Mordabito;",A League of Their Own,1992,Once in a lifetime you get a chance to do something different.
Bill Paxton,1955,ACTED_IN,Bob Hinson;,A League of Their Own,1992,Once in a lifetime you get a chance to do something different.
Penny Marshall,1943,DIRECTED,,A League of Their Own,1992,Once in a lifetime you get a chance to do something different.